feature,importance
fault_rate_50,0.04857382
Anomaly_Score,0.025070382
FFT_Feature1,0.02351906
FFT_Feature2,0.021823961
Normalized_Vibration,0.02114623
Normalized_Pressure,0.0139624225
Normalized_Voltage,0.012937167
Normalized_Temp,0.012773541
Normalized_Vibration_delta,0.012427176
Normalized_Current_rollstd15,0.012028118
FFT_Feature2_rollmean30,0.0119237
Anomaly_Score_rollstd7,0.011862733
FFT_Feature2_rollstd7,0.011768613
FFT_Feature2_delta,0.011755997
Normalized_Vibration_rollstd15,0.011732251
FFT_Feature2_rollmean7,0.011728752
Normalized_Current_rollmean7,0.011700829
Normalized_Pressure_rollmean7,0.0116404155
Normalized_Current,0.011606627
Normalized_Current_rollstd7,0.011604101
FFT_Feature1_rollmean7,0.0115880985
Normalized_Voltage_rollmean7,0.01156755
Normalized_Vibration_rollmean30,0.011550524
FFT_Feature1_rollstd30,0.011544702
Anomaly_Score_delta,0.011522896
Normalized_Vibration_rollstd7,0.011516034
Normalized_Current_rollmean15,0.011507678
Normalized_Pressure_rollmean3,0.0115013
FFT_Feature2_rollstd30,0.011489153
Normalized_Pressure_rollmean30,0.011461332
Normalized_Pressure_rollstd7,0.011447012
FFT_Feature1_delta,0.011443399
FFT_Feature1_rollstd3,0.011433519
Normalized_Current_rollmean3,0.011417289
Anomaly_Score_rollmean30,0.01132235
Normalized_Voltage_rollmean3,0.011273531
Normalized_Current_rollstd3,0.011244913
Normalized_Vibration_rollmean7,0.011237888
Anomaly_Score_rollmean3,0.011227183
Normalized_Vibration_rollmean15,0.011221541
Normalized_Temp_rollmean30,0.011208251
Normalized_Pressure_delta,0.011197458
Normalized_Temp_rollstd30,0.011174558
Normalized_Pressure_rollstd3,0.011166053
Anomaly_Score_rollstd3,0.011158466
Normalized_Voltage_rollstd30,0.011149373
FFT_Feature2_rollmean15,0.011148662
FFT_Feature2_rollstd3,0.011119042
Anomaly_Score_rollmean7,0.011117577
Normalized_Temp_rollstd15,0.011111665
Normalized_Temp_delta,0.0111016575
FFT_Feature1_rollmean3,0.01110058
Anomaly_Score_rollstd15,0.011087202
Normalized_Temp_rollmean3,0.011066478
Anomaly_Score_rollmean15,0.011064108
Normalized_Vibration_rollstd3,0.011062742
Normalized_Current_rollmean30,0.011054257
FFT_Feature1_rollstd7,0.0110522
Normalized_Pressure_rollmean15,0.011035284
Normalized_Temp_rollstd7,0.011034946
FFT_Feature2_rollstd15,0.011004763
FFT_Feature1_rollmean30,0.01099439
FFT_Feature1_rollmean15,0.0109837465
Normalized_Voltage_rollmean15,0.010981943
Normalized_Voltage_rollstd15,0.010977577
Normalized_Vibration_rollstd30,0.010969801
Normalized_Temp_rollmean15,0.010960907
Normalized_Vibration_rollmean3,0.010951765
FFT_Feature2_rollmean3,0.010943905
Normalized_Voltage_rollstd7,0.010943851
Normalized_Pressure_rollstd30,0.010926168
FFT_Feature1_rollstd15,0.010845204
Normalized_Voltage_rollstd3,0.0108308885
Normalized_Voltage_rollmean30,0.010800918
Normalized_Pressure_rollstd15,0.010799058
Anomaly_Score_rollstd30,0.010795232
Normalized_Current_rollstd30,0.010777085
Normalized_Current_delta,0.010725237
Normalized_Temp_rollmean7,0.010613844
Normalized_Temp_rollstd3,0.010468318
Normalized_Voltage_delta,0.010391069
